appid,name,developer,publisher,score_rank,positive,negative,owners,average_forever,average_2weeks,initialprice,languages,genre,ccu,tags,Casual,NaN,Action,Accounting,Early Access,Utilities,Indie,Web,Development,Simulation,RPG,Strategy,Free to Play,Adventure,Movie,Violent,Animation & Modelling,Design & Illustration,Racing,Photo Editing,Video Production,MMO,Software,Audio,Sports,Education,has_multiplayer,has_dlc,Developer_score
10,Counter-Strike,Valve,Valve,,191894,4915,"10,000,000 .. 20,000,000",10534,1525,999,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,16162,"{'Action': 5379, 'FPS': 4798, 'Multiplayer': 3361, 'Shooter': 3324, 'Classic': 2757, 'Team-Based': 1843, 'First-Person': 1690, 'Competitive': 1586, 'Tactical': 1321, ""1990's"": 1180, 'e-sports': 1173, 'PvP': 864, 'Old School': 749, 'Military': 622, 'Strategy': 604, 'Survival': 295, 'Score Attack': 284, '1980s': 255, 'Assassin': 222, 'Violent': 64}",False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,AAA
20,Team Fortress Classic,Valve,Valve,,5365,891,"2,000,000 .. 5,000,000",1003,0,499,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,99,"{'Action': 745, 'FPS': 306, 'Multiplayer': 257, 'Classic': 232, 'Hero Shooter': 213, 'Shooter': 206, 'Team-Based': 188, 'Class-Based': 181, 'First-Person': 169, ""1990's"": 131, 'Old School': 106, 'Co-op': 89, 'Competitive': 68, 'Fast-Paced': 61, 'Retro': 55, 'Online Co-Op': 51, 'Violent': 45, 'Mod': 36, 'Funny': 35, 'Remake': 35}",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,AAA
30,Day of Defeat,Valve,Valve,,4972,552,"5,000,000 .. 10,000,000",931,0,499,"English, French, German, Italian, Spanish - Spain",Action,127,"{'FPS': 786, 'World War II': 247, 'Multiplayer': 201, 'Shooter': 186, 'Action': 158, 'War': 150, 'Team-Based': 130, 'Classic': 123, 'First-Person': 103, 'Class-Based': 76, 'Military': 63, 'Historical': 56, 'Tactical': 39, 'Singleplayer': 35, 'Co-op': 33, 'Difficult': 16, 'Old School': 14, 'World War I': 13, 'Retro': 12, 'Strategy': 12}",False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
40,Deathmatch Classic,Valve,Valve,,1839,409,"5,000,000 .. 10,000,000",1204,0,499,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,12,"{'Action': 629, 'FPS': 139, 'Classic': 107, 'Multiplayer': 96, 'Shooter': 94, 'First-Person': 70, 'Arena Shooter': 44, 'Old School': 33, 'Sci-fi': 33, 'Competitive': 23, 'Fast-Paced': 15, 'Retro': 14, 'Gore': 14, 'Co-op': 13, 'Difficult': 12, ""1990's"": 8}",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
50,Half-Life: Opposing Force,Gearbox Software,Valve,,13083,651,"5,000,000 .. 10,000,000",1150,0,499,"English, French, German, Korean",Action,101,"{'FPS': 879, 'Action': 321, 'Classic': 250, 'Sci-fi': 247, 'Singleplayer': 224, 'Shooter': 219, 'First-Person': 186, 'Aliens': 171, ""1990's"": 132, 'Adventure': 113, 'Atmospheric': 104, 'Military': 90, 'Story Rich': 72, 'Silent Protagonist': 64, 'Great Soundtrack': 49, 'Gore': 37, 'Puzzle': 34, 'Co-op': 31, 'Moddable': 28, 'Retro': 17}",False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,AAA
60,Ricochet,Valve,Valve,,3650,834,"5,000,000 .. 10,000,000",1019,0,499,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,9,"{'Action': 585, 'FPS': 128, 'Multiplayer': 104, 'Classic': 89, 'First-Person': 78, 'Sci-fi': 54, 'Shooter': 52, 'Space': 42, 'Cyberpunk': 38, 'Memes': 31, 'Platformer': 27, 'Psychological Horror': 26, '3D': 25, 'Conspiracy': 25, 'Old School': 23, 'Retro': 23, 'Cult Classic': 17, 'Competitive': 16, 'Sports': 10, 'Great Soundtrack': 8}",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,AAA
70,Half-Life,Valve,Valve,,67961,2427,"5,000,000 .. 10,000,000",878,1930,999,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,765,"{'FPS': 2230, 'Sci-fi': 1759, 'Action': 1755, ""1990's"": 1754, 'Multiplayer': 1753, 'Singleplayer': 1752, 'Shooter': 1748, 'First-Person': 1740, 'Story Rich': 1738, 'Classic': 1737, 'Aliens': 1732, 'Silent Protagonist': 1729, 'Atmospheric': 1726, 'Adventure': 1719, 'Moddable': 1714, 'Action-Adventure': 1710, 'Retro': 1705, 'Gore': 1705, 'Difficult': 1696, 'PvP': 1693}",False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
80,Counter-Strike: Condition Zero,Valve,Valve,,18551,1805,"2,000,000 .. 5,000,000",761,0,999,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,549,"{'Action': 1358, 'FPS': 1013, 'Shooter': 748, 'Multiplayer': 603, 'First-Person': 461, 'Singleplayer': 395, 'Classic': 391, 'Tactical': 369, 'Team-Based': 313, 'Competitive': 301, 'Strategy': 175, 'Online Co-Op': 175, 'Military': 174, 'Adventure': 87, 'Survival': 70, 'Atmospheric': 61, 'Open World': 43, 'Old School': 43, 'Simulation': 39, 'Dark': 39}",False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
130,Half-Life: Blue Shift,Gearbox Software,Valve,,9322,897,"10,000,000 .. 20,000,000",1060,1337,499,"English, French, German",Action,64,"{'FPS': 454, 'Action': 281, 'Sci-fi': 211, 'Singleplayer': 190, 'Shooter': 171, 'Aliens': 148, 'Classic': 138, 'First-Person': 137, 'Zombies': 90, 'Adventure': 88, ""1990's"": 79, 'Short': 73, 'Atmospheric': 68, 'Silent Protagonist': 48, 'Story Rich': 43, 'Puzzle': 22, 'Moddable': 21, 'Great Soundtrack': 20, 'Retro': 18, 'Old School': 9}",False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,AAA
220,Half-Life 2,Valve,Valve,,133519,3551,"10,000,000 .. 20,000,000",798,188,999,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese, Swedish, Thai",Action,1089,"{'FPS': 3863, 'Action': 2746, 'Sci-fi': 2395, 'Classic': 2190, 'Singleplayer': 2119, 'Story Rich': 1820, 'Shooter': 1637, 'First-Person': 1529, 'Adventure': 1308, 'Dystopian ': 1152, 'Atmospheric': 1069, 'Zombies': 972, 'Silent Protagonist': 954, 'Physics': 925, 'Aliens': 890, 'Great Soundtrack': 878, 'Horror': 702, 'Puzzle': 685, 'Multiplayer': 639, 'Moddable': 466}",False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,AAA
